pathway	gene
PWY_neural	SIMG_00000
PWY_signal	SIMG_00000
PWY_misc	SIMG_00001
PWY_metabolism	SIMG_00001
PWY_immune	SIMG_00002
PWY_neural	SIMG_00002
PWY_signal	SIMG_00003
PWY_misc	SIMG_00003
PWY_immune	SIMG_00004
PWY_misc	SIMG_00004
PWY_neural	SIMG_00005
PWY_immune	SIMG_00005
PWY_metabolism	SIMG_00006
PWY_neural	SIMG_00006
PWY_metabolism	SIMG_00007
PWY_misc	SIMG_00007
PWY_signal	SIMG_00008
PWY_immune	SIMG_00008
PWY_misc	SIMG_00009
PWY_signal	SIMG_00009
PWY_misc	SIMG_00010
PWY_metabolism	SIMG_00010
PWY_signal	SIMG_00011
PWY_misc	SIMG_00011
PWY_metabolism	SIMG_00012
PWY_signal	SIMG_00012
PWY_neural	SIMG_00013
PWY_immune	SIMG_00013
PWY_neural	SIMG_00014
PWY_metabolism	SIMG_00014
PWY_neural	SIMG_00015
PWY_misc	SIMG_00015
PWY_misc	SIMG_00016
PWY_immune	SIMG_00016
PWY_misc	SIMG_00017
PWY_immune	SIMG_00017
PWY_metabolism	SIMG_00018
PWY_neural	SIMG_00018
PWY_neural	SIMG_00019
PWY_metabolism	SIMG_00019
PWY_misc	SIMG_00020
PWY_neural	SIMG_00020
PWY_metabolism	SIMG_00021
PWY_neural	SIMG_00021
PWY_neural	SIMG_00022
PWY_signal	SIMG_00022
PWY_signal	SIMG_00023
PWY_misc	SIMG_00023
PWY_metabolism	SIMG_00024
PWY_immune	SIMG_00024
PWY_signal	SIMG_00025
PWY_neural	SIMG_00025
PWY_signal	SIMG_00026
PWY_immune	SIMG_00026
PWY_immune	SIMG_00027
PWY_misc	SIMG_00027
PWY_neural	SIMG_00028
PWY_metabolism	SIMG_00028
PWY_misc	SIMG_00029
PWY_metabolism	SIMG_00029
PWY_signal	SIMG_00030
PWY_misc	SIMG_00030
PWY_neural	SIMG_00031
PWY_misc	SIMG_00031
PWY_immune	SIMG_00032
PWY_signal	SIMG_00032
PWY_immune	SIMG_00033
PWY_neural	SIMG_00033
PWY_misc	SIMG_00034
PWY_metabolism	SIMG_00034
PWY_metabolism	SIMG_00035
PWY_neural	SIMG_00035
PWY_neural	SIMG_00036
PWY_misc	SIMG_00036
PWY_neural	SIMG_00037
PWY_metabolism	SIMG_00037
PWY_neural	SIMG_00038
PWY_signal	SIMG_00038
PWY_neural	SIMG_00039
PWY_metabolism	SIMG_00039
PWY_signal	SIMG_00040
PWY_immune	SIMG_00040
PWY_immune	SIMG_00041
PWY_metabolism	SIMG_00041
PWY_immune	SIMG_00042
PWY_signal	SIMG_00042
PWY_immune	SIMG_00043
PWY_misc	SIMG_00043
PWY_metabolism	SIMG_00044
PWY_immune	SIMG_00044
PWY_misc	SIMG_00045
PWY_metabolism	SIMG_00045
PWY_immune	SIMG_00046
PWY_signal	SIMG_00046
PWY_neural	SIMG_00047
PWY_metabolism	SIMG_00047
PWY_neural	SIMG_00048
PWY_signal	SIMG_00048
PWY_misc	SIMG_00049
PWY_neural	SIMG_00049
PWY_misc	SIMG_00050
PWY_immune	SIMG_00050
PWY_immune	SIMG_00051
PWY_metabolism	SIMG_00051
PWY_metabolism	SIMG_00052
PWY_misc	SIMG_00052
PWY_signal	SIMG_00053
PWY_neural	SIMG_00053
PWY_neural	SIMG_00054
PWY_metabolism	SIMG_00054
PWY_misc	SIMG_00055
PWY_neural	SIMG_00055
PWY_signal	SIMG_00056
PWY_immune	SIMG_00056
PWY_metabolism	SIMG_00057
PWY_immune	SIMG_00057
PWY_metabolism	SIMG_00058
PWY_immune	SIMG_00058
PWY_signal	SIMG_00059
PWY_neural	SIMG_00059
PWY_metabolism	SIMG_00060
PWY_signal	SIMG_00060
PWY_metabolism	SIMG_00061
PWY_immune	SIMG_00061
PWY_misc	SIMG_00062
PWY_immune	SIMG_00062
PWY_misc	SIMG_00063
PWY_neural	SIMG_00063
PWY_misc	SIMG_00064
PWY_signal	SIMG_00064
PWY_signal	SIMG_00065
PWY_immune	SIMG_00065
PWY_signal	SIMG_00066
PWY_neural	SIMG_00066
PWY_metabolism	SIMG_00067
PWY_immune	SIMG_00067
PWY_misc	SIMG_00068
PWY_immune	SIMG_00068
PWY_signal	SIMG_00069
PWY_immune	SIMG_00069
PWY_neural	SIMG_00070
PWY_immune	SIMG_00070
PWY_misc	SIMG_00071
PWY_neural	SIMG_00071
PWY_misc	SIMG_00072
PWY_immune	SIMG_00072
PWY_signal	SIMG_00073
PWY_neural	SIMG_00073
PWY_misc	SIMG_00074
PWY_neural	SIMG_00074
PWY_neural	SIMG_00075
PWY_metabolism	SIMG_00075
PWY_metabolism	SIMG_00076
PWY_signal	SIMG_00076
PWY_signal	SIMG_00077
PWY_metabolism	SIMG_00077
PWY_metabolism	SIMG_00078
PWY_signal	SIMG_00078
PWY_metabolism	SIMG_00079
PWY_immune	SIMG_00079
PWY_neural	SIMG_00080
PWY_metabolism	SIMG_00080
PWY_metabolism	SIMG_00081
PWY_misc	SIMG_00081
PWY_metabolism	SIMG_00082
PWY_signal	SIMG_00082
PWY_signal	SIMG_00083
PWY_misc	SIMG_00083
PWY_immune	SIMG_00084
PWY_misc	SIMG_00084
PWY_immune	SIMG_00085
PWY_neural	SIMG_00085
PWY_misc	SIMG_00086
PWY_metabolism	SIMG_00086
PWY_immune	SIMG_00087
