method,type,precision,recall,f1,tp,fp,fn,n_truth
pvalue,strong,1.0,0.8,0.888888888888889,4,0,1,5
pvalue,weak,0.0,0.0,0.0,0,4,10,10
pvalue,epistatic,0.25,0.16666666666666666,0.2,1,3,5,6
pvalue,combined,1.0,0.19047619047619047,0.32,4,0,17,21
lasso,strong,0.08196721311475409,1.0,0.1515151515151515,5,56,0,5
lasso,weak,0.14754098360655737,0.9,0.2535211267605634,9,52,1,10
lasso,epistatic,0.04918032786885246,0.5,0.08955223880597014,3,58,3,6
lasso,combined,0.26229508196721313,0.7619047619047619,0.3902439024390244,16,45,5,21
random_forest,strong,0.11627906976744186,1.0,0.20833333333333334,5,38,0,5
random_forest,weak,0.06976744186046512,0.3,0.11320754716981132,3,40,7,10
random_forest,epistatic,0.09302325581395349,0.6666666666666666,0.16326530612244897,4,39,2,6
random_forest,combined,0.2558139534883721,0.5238095238095238,0.34375,11,32,10,21
reliefF_only,strong,0.45454545454545453,1.0,0.625,5,6,0,5
reliefF_only,weak,0.2727272727272727,0.3,0.28571428571428564,3,8,7,10
reliefF_only,epistatic,0.18181818181818182,0.3333333333333333,0.23529411764705885,2,9,4,6
reliefF_only,combined,0.8181818181818182,0.42857142857142855,0.5625,9,2,12,21
proposed,strong,0.06666666666666667,1.0,0.125,5,70,0,5
proposed,weak,0.08,0.6,0.14117647058823532,6,69,4,10
proposed,epistatic,0.05333333333333334,0.6666666666666666,0.09876543209876544,4,71,2,6
proposed,combined,0.18666666666666668,0.6666666666666666,0.2916666666666667,14,61,7,21
