method,type,precision,recall,f1,tp,fp,fn,n_truth
pvalue,strong,1.0,0.5,0.6666666666666666,4,0,4,8
pvalue,weak,0.25,0.05,0.08333333333333334,1,3,19,20
pvalue,epistatic,0.25,0.08333333333333333,0.125,1,3,11,12
pvalue,combined,1.0,0.1,0.18181818181818182,4,0,36,40
lasso,strong,0.16326530612244897,1.0,0.2807017543859649,8,41,0,8
lasso,weak,0.2857142857142857,0.7,0.40579710144927533,14,35,6,20
lasso,epistatic,0.14285714285714285,0.5833333333333334,0.22950819672131142,7,42,5,12
lasso,combined,0.4489795918367347,0.55,0.4943820224719101,22,27,18,40
random_forest,strong,0.3333333333333333,1.0,0.5,8,16,0,8
random_forest,weak,0.20833333333333334,0.25,0.22727272727272727,5,19,15,20
random_forest,epistatic,0.16666666666666666,0.3333333333333333,0.2222222222222222,4,20,8,12
random_forest,combined,0.4583333333333333,0.275,0.34374999999999994,11,13,29,40
reliefF_only,strong,0.8888888888888888,1.0,0.9411764705882353,8,1,0,8
reliefF_only,weak,0.3333333333333333,0.15,0.20689655172413793,3,6,17,20
reliefF_only,epistatic,0.4444444444444444,0.3333333333333333,0.380952380952381,4,5,8,12
reliefF_only,combined,1.0,0.225,0.36734693877551017,9,0,31,40
proposed,strong,0.10666666666666667,1.0,0.1927710843373494,8,67,0,8
proposed,weak,0.2,0.75,0.31578947368421056,15,60,5,20
proposed,epistatic,0.10666666666666667,0.6666666666666666,0.1839080459770115,8,67,4,12
proposed,combined,0.32,0.6,0.4173913043478261,24,51,16,40
