gene	snp_start	snp_end
SIMG_00000	0	49
SIMG_00001	50	99
SIMG_00002	100	149
SIMG_00003	150	199
SIMG_00004	200	249
SIMG_00005	250	299
SIMG_00006	300	349
SIMG_00007	350	399
SIMG_00008	400	449
SIMG_00009	450	499
SIMG_00010	500	549
SIMG_00011	550	599
SIMG_00012	600	649
SIMG_00013	650	699
SIMG_00014	700	749
SIMG_00015	750	799
SIMG_00016	800	849
SIMG_00017	850	899
SIMG_00018	900	949
SIMG_00019	950	999
SIMG_00020	1000	1049
SIMG_00021	1050	1099
SIMG_00022	1100	1149
SIMG_00023	1150	1199
SIMG_00024	1200	1249
SIMG_00025	1250	1299
SIMG_00026	1300	1349
SIMG_00027	1350	1399
SIMG_00028	1400	1449
SIMG_00029	1450	1499
SIMG_00030	1500	1549
SIMG_00031	1550	1599
SIMG_00032	1600	1649
SIMG_00033	1650	1699
SIMG_00034	1700	1749
SIMG_00035	1750	1799
SIMG_00036	1800	1849
SIMG_00037	1850	1899
SIMG_00038	1900	1949
SIMG_00039	1950	1999
SIMG_00040	2000	2049
SIMG_00041	2050	2099
SIMG_00042	2100	2149
SIMG_00043	2150	2199
SIMG_00044	2200	2249
SIMG_00045	2250	2299
SIMG_00046	2300	2349
SIMG_00047	2350	2399
SIMG_00048	2400	2449
SIMG_00049	2450	2499
SIMG_00050	2500	2549
SIMG_00051	2550	2599
SIMG_00052	2600	2649
SIMG_00053	2650	2699
SIMG_00054	2700	2749
SIMG_00055	2750	2799
SIMG_00056	2800	2849
SIMG_00057	2850	2899
SIMG_00058	2900	2949
SIMG_00059	2950	2999
SIMG_00060	3000	3049
SIMG_00061	3050	3099
SIMG_00062	3100	3149
SIMG_00063	3150	3199
SIMG_00064	3200	3249
SIMG_00065	3250	3299
SIMG_00066	3300	3349
SIMG_00067	3350	3399
SIMG_00068	3400	3449
SIMG_00069	3450	3499
SIMG_00070	3500	3549
SIMG_00071	3550	3599
SIMG_00072	3600	3649
SIMG_00073	3650	3699
SIMG_00074	3700	3749
SIMG_00075	3750	3799
SIMG_00076	3800	3849
SIMG_00077	3850	3899
SIMG_00078	3900	3949
SIMG_00079	3950	3999
SIMG_00080	4000	4049
SIMG_00081	4050	4099
SIMG_00082	4100	4149
SIMG_00083	4150	4199
SIMG_00084	4200	4249
SIMG_00085	4250	4299
SIMG_00086	4300	4349
SIMG_00087	4350	4399
SIMG_00088	4400	4449
SIMG_00089	4450	4499
SIMG_00090	4500	4549
SIMG_00091	4550	4599
SIMG_00092	4600	4649
SIMG_00093	4650	4699
SIMG_00094	4700	4749
SIMG_00095	4750	4799
SIMG_00096	4800	4849
SIMG_00097	4850	4899
SIMG_00098	4900	4949
SIMG_00099	4950	4999
